717c Control_A_Shoot tip_1,Control_A_Shoot
717c Control_A_Shoot tip_2,Control_A_Shoot
717c Control_A_Shoot tip_3,Control_A_Shoot
IAA7-54_shoot tip_1,IAA7-54_shoot
IAA7-54_shoot tip_2,IAA7-54_shoot
IAA7-54_shoot tip_3,IAA7-54_shoot
